time(s)	cellId	rnti	lcid	packetSize
0.434522	2	1	4	1030
0.434562	2	1	4	1030
0.434602	2	1	4	1030
0.434642	2	1	4	1030
0.434682	2	1	4	1030
0.434722	2	1	4	1030
0.434762	2	1	4	1030
0.434802	2	1	4	1030
0.434842	2	1	4	1030
0.434882	2	1	4	1030
0.434922	2	1	4	1030
0.434962	2	1	4	1030
0.435002	2	1	4	1030
0.435042	2	1	4	1030
0.435082	2	1	4	1030
0.435122	2	1	4	1030
0.435162	2	1	4	1030
0.435202	2	1	4	1030
0.435242	2	1	4	1030
0.435282	2	1	4	1030
0.435322	2	1	4	1030
0.435362	2	1	4	1030
0.435402	2	1	4	1030
0.435442	2	1	4	1030
0.435482	2	1	4	1030
0.435522	2	1	4	1030
0.435562	2	1	4	1030
0.435602	2	1	4	1030
0.435642	2	1	4	1030
0.435682	2	1	4	1030
0.435722	2	1	4	1030
0.435762	2	1	4	1030
0.435802	2	1	4	1030
0.435842	2	1	4	1030
0.435882	2	1	4	1030
0.435922	2	1	4	1030
0.435962	2	1	4	1030
0.436002	2	1	4	1030
0.436042	2	1	4	1030
0.436082	2	1	4	1030
0.436122	2	1	4	1030
0.436162	2	1	4	1030
0.436202	2	1	4	1030
0.436242	2	1	4	1030
0.436282	2	1	4	1030
0.436322	2	1	4	1030
0.436362	2	1	4	1030
0.436402	2	1	4	1030
0.436442	2	1	4	1030
0.436482	2	1	4	1030
0.436522	2	1	4	1030
0.436562	2	1	4	1030
0.436602	2	1	4	1030
0.436642	2	1	4	1030
0.436682	2	1	4	1030
0.436722	2	1	4	1030
0.436762	2	1	4	1030
0.436802	2	1	4	1030
0.436842	2	1	4	1030
0.436882	2	1	4	1030
0.436922	2	1	4	1030
0.436962	2	1	4	1030
0.437002	2	1	4	1030
0.437042	2	1	4	1030
0.437082	2	1	4	1030
0.437122	2	1	4	1030
0.437162	2	1	4	1030
0.437202	2	1	4	1030
0.437242	2	1	4	1030
0.437282	2	1	4	1030
0.437322	2	1	4	1030
0.437362	2	1	4	1030
0.437402	2	1	4	1030
0.437442	2	1	4	1030
0.437482	2	1	4	1030
0.437522	2	1	4	1030
0.437562	2	1	4	1030
0.437602	2	1	4	1030
0.437642	2	1	4	1030
0.437682	2	1	4	1030
0.437722	2	1	4	1030
0.437762	2	1	4	1030
0.437802	2	1	4	1030
0.437842	2	1	4	1030
0.437882	2	1	4	1030
0.437922	2	1	4	1030
0.437962	2	1	4	1030
0.438002	2	1	4	1030
0.438042	2	1	4	1030
0.438082	2	1	4	1030
0.438122	2	1	4	1030
0.438162	2	1	4	1030
0.438202	2	1	4	1030
0.438242	2	1	4	1030
0.438282	2	1	4	1030
0.438322	2	1	4	1030
0.438362	2	1	4	1030
0.438402	2	1	4	1030
0.438442	2	1	4	1030
0.438482	2	1	4	1030
0.438522	2	1	4	1030
0.438562	2	1	4	1030
0.438602	2	1	4	1030
0.438642	2	1	4	1030
0.438682	2	1	4	1030
0.438722	2	1	4	1030
0.438762	2	1	4	1030
0.438802	2	1	4	1030
0.438842	2	1	4	1030
0.438882	2	1	4	1030
0.438922	2	1	4	1030
0.438962	2	1	4	1030
0.439002	2	1	4	1030
0.439042	2	1	4	1030
0.439082	2	1	4	1030
0.439122	2	1	4	1030
0.439162	2	1	4	1030
0.439202	2	1	4	1030
0.439242	2	1	4	1030
0.439282	2	1	4	1030
0.439322	2	1	4	1030
0.439362	2	1	4	1030
0.439402	2	1	4	1030
0.439442	2	1	4	1030
