% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.586	1	0	1	1	58	8	0	1	12	0	11	0	2	0	8312
0.586	1	0	1	1	58	8	0	1	12	1	11	255	0	255	0
0.587	1	0	1	1	58	9	0	1	12	0	12	1	0	0	8312
0.587	1	0	1	1	58	9	0	1	12	1	12	1	0	0	8312
0.588	1	0	1	1	59	0	0	1	12	0	15	0	1	0	8312
0.588	1	0	1	1	59	0	0	1	12	1	15	255	0	255	0
0.589	1	0	1	1	59	1	0	1	12	0	14	0	1	0	8312
0.589	1	0	1	1	59	1	0	1	12	1	14	255	0	255	0
0.59	1	0	1	1	59	2	0	1	12	0	13	0	1	0	8312
0.59	1	0	1	1	59	2	0	1	12	1	13	255	0	255	0
0.591	1	0	1	1	59	3	0	1	12	0	11	0	3	0	8312
0.591	1	0	1	1	59	3	0	1	12	1	11	255	0	255	0
0.592	1	0	1	1	59	4	0	1	12	0	12	0	1	0	8312
0.592	1	0	1	1	59	4	0	1	12	1	12	255	0	255	0
0.593	1	0	1	1	59	5	0	1	12	0	15	0	2	0	8312
0.593	1	0	1	1	59	5	0	1	12	1	15	255	0	255	0
0.594	1	0	1	1	59	6	0	1	12	0	14	0	2	0	8312
0.594	1	0	1	1	59	6	0	1	12	1	14	255	0	255	0
0.595	1	0	1	1	59	7	0	1	12	0	13	0	2	0	8312
0.595	1	0	1	1	59	7	0	1	12	1	13	255	0	255	0
0.596	1	0	1	1	59	8	0	1	12	0	11	1	0	0	8312
0.596	1	0	1	1	59	8	0	1	12	1	11	1	0	0	8312
0.597	1	0	1	1	59	9	0	1	12	0	12	0	2	0	8312
0.597	1	0	1	1	59	9	0	1	12	1	12	255	0	255	0
0.598	1	0	1	1	60	0	0	1	12	0	15	0	3	0	8312
0.598	1	0	1	1	60	0	0	1	12	1	15	255	0	255	0
0.599	1	0	1	1	60	1	0	1	12	0	14	0	3	0	8312
0.599	1	0	1	1	60	1	0	1	12	1	14	255	0	255	0
0.6	1	0	1	1	60	2	0	1	12	0	13	0	3	0	8312
0.6	1	0	1	1	60	2	0	1	12	1	13	255	0	255	0
0.601	1	0	1	1	60	3	0	1	12	0	11	0	1	0	8312
0.601	1	0	1	1	60	3	0	1	12	1	11	255	0	255	0
0.602	1	0	1	1	60	4	0	1	12	0	12	0	3	0	8312
0.602	1	0	1	1	60	4	0	1	12	1	12	255	0	255	0
0.603	1	0	1	1	60	5	0	1	12	0	15	1	0	0	8312
